source_id,source_layer,platform,source_type,title,author_org,published_at,collected_at,url,query_id,access_status,evidence_form,evidence_grade,notes_file,query,legacy_source_layer
XHS-001,creator_experience,GitHub Gist,第三方账号样本报告,PPAN近90天小红书账号报告,jiaolulin,2026-05-21,2026-07-16,https://gist.github.com/jiaolulin/ac3d7c70b3eb5cc88a9c39da5e20ca5b,Q-XHS-003;Q-XHS-007,full,汇总 PPAN 账号 11 篇笔记标题、月日、形式、点赞和评论；原帖 URL、曝光、收藏、分享及采集方法缺失,C,notes/xhs-creator-posts.md,小红书图文数据复盘,xhs_creator_posts
IND-038,industry,数英,从业者搜索框架,一文搞懂怎样抢占小红书搜索流量,Vic的营销思考,2024-12-17,2026-07-16,https://www.digitaling.com/articles/1297666.html,Q-XHS-002,full,公开互动为 7 赞/42 藏/4 评；营销从业者模型，无后台样本,C,notes/xhs-creator-posts.md,小红书搜索流量,wechat_zhihu_industry
IND-039,industry,TopMarketing,从业者流量框架,推荐流、搜索流、直播流的分发逻辑,Vic的营销思考,2024-05-16,2026-07-16,https://www.itopmarketing.com/info16744,Q-XHS-001,full,公开互动 15 赞/12359 浏览/1 藏/0 评；包含无原始来源的固定 CES 权重,D,notes/xhs-creator-posts.md,小红书流量机制,wechat_zhihu_industry
IND-040,industry,迅课科技,机构营销文章,掌握搜索流量,迅课科技,2025-02-27,2026-07-16,https://www.ixunke.com/article/709,Q-XHS-002,full,公开阅读 11120；展示搜索占比截图但未给账号或样本口径,C,notes/xhs-creator-posts.md,小红书搜索流量,wechat_zhihu_industry
IND-041,industry,运营喵,单一业务经验,利用搜索流量获客,更绪/生财有术,2025-02-09,2026-07-16,https://www.yymiao.cn/yunying/newmedia/4740.html,Q-XHS-002,full,公开阅读 146964/2 赞；单一创作者称业务搜索占比 65%，不能改写为平台占比,C,notes/xhs-creator-posts.md,小红书搜索流量,wechat_zhihu_industry
IND-042,industry,青瓜传媒,流量机制转述,小红书的流量机制,青瓜传媒,2023-10-31,2026-07-16,https://www.opp2.com/329535.html,Q-XHS-001;Q-XHS-004,full,公开阅读 1082152；固定 CES、账号权重和阶梯流量池均无原始验证且正文自相矛盾,D,notes/xhs-creator-posts.md,小红书流量机制 小红书账号标签,wechat_zhihu_industry
IND-043,industry,Reditor,工具商机制文章,2026小红书流量机制分析,Reditor,2026-06-15,2026-07-16,https://help.reditorapp.com/content/260615%E5%B0%8F%E7%BA%A2%E4%B9%A6%E6%B5%81%E9%87%8F%E6%9C%BA%E5%88%B6.html,Q-XHS-001,full,公开浏览 6128；给出 CES、初始曝光、前2小时和 CTR 阈值但无方法或数据来源,D,notes/xhs-creator-posts.md,小红书流量机制,wechat_zhihu_industry
IND-044,industry,搜狐/三节课,二次传播文章,2025小红书流量推荐机制详解,三节课,2025-09-19,2026-07-16,https://www.sohu.com/a/936706151_624051,Q-XHS-001,full,图片型二次传播；CES 和选题法无样本及原始出处,D,notes/xhs-creator-posts.md,小红书流量机制,wechat_zhihu_industry
IND-045,industry,搜狐,机制概念总结,2026全新流量推荐机制,中国科技小圈子,2025-12-26,2026-07-16,https://www.sohu.com/a/969521043_121124358,Q-XHS-001,full,阶梯推荐、兴趣相似和作者关联等概念未给方法与验证,D,notes/xhs-creator-posts.md,小红书流量机制,wechat_zhihu_industry
IND-046,industry,人人都是产品经理,商家运营SOP,0基础商家运营小红书SOP,江河聊营销,2023-10-31,2026-07-16,https://www.woshipm.com/share/5931295.html,Q-XHS-005;Q-XHS-006;Q-XHS-008,full,公开 4678 浏览/22 藏；含固定 100 浏览阈值、薯条诊断和朋友刷互动等无依据或高风险建议,D,notes/xhs-creator-posts.md,小红书标题封面 小红书限流自查,wechat_zhihu_industry
IND-047,industry,人人都是产品经理/卡思数据,聊天记录案例观察,小红书‘朋友圈’化,卡思数据,2022-10-18,2026-07-16,https://www.woshipm.com/operate/5647622.html,Q-XHS-008,full,公开 10122 浏览/34 藏/2 评；历史站内案例观察，无法核验每则聊天真实性且不代表当前规则,C,notes/xhs-creator-posts.md,小红书聊天记录,wechat_zhihu_industry
IND-048,industry,人人都是产品经理/卡思数据,故事内容案例观察,在小红书看纯爱,卡思数据,2023-06-30,2026-07-16,https://www.woshipm.com/operate/5858047.html,Q-XHS-008,full,公开 7676 浏览/1 藏/1 评；观察性旧案例，真实性和当前合规性未逐条核验,C,notes/xhs-creator-posts.md,小红书聊天记录 小红书故事,wechat_zhihu_industry
OFF-018,official,小红书,官方商品笔记活动攻略,商家热搜词发布攻略,小红书,,2026-07-16,https://fe.xiaohongshu.com/apps/vincent/barley?fullscreen=true&id=ba0aee82139d40739ee31731406736b6&naviHidden=yes,Q-XHS-002;Q-XHS-006,full,官方活动/商品笔记语境；建议核心词进入封面、标题、正文、话题且内容围绕核心词，不可外推为所有自然笔记固定排名规则,A,notes/xhs-creator-posts.md,小红书搜索流量 标题封面,official_and_rules
MED-002,industry,央视网,权威媒体转述,小红书持续治理黑灰产及虚假营销,央视网转述薯管家,2025-02-19,2026-07-16,https://jingji.cctv.com/2025/02/19/ARTIn60TV6IJFUn5MXKmuqrC250219.shtml,Q-XHS-008;Q-COMMENT-004,full,权威媒体转述平台治理数据；可交叉验证虚构体验/人设/权威/互动及盗图营销治理，不是推荐算法说明,B,notes/xhs-creator-posts.md,小红书虚构体验 人设 互动 黑灰产治理,wechat_zhihu_industry
OFF-019,official,小红书蒲公英,官方治理公告,关于不正当商业竞争行为的治理公告,小红书,2026-05-29,2026-07-16,https://pgy.xiaohongshu.com/help/detail?id=8c0b127f03a949d71f1f218a55e7d7f6&userType=4,Q-COMMENT-002;Q-COMMENT-003,full,登录态官方帮助页；明确竞品评论区招揽和私信意向用户属于商业撬客，处置可含仅个人可见、流量调控、限流或禁言；作用域为商业客户/蒲公英治理,A,notes/comment-section-acquisition.md,小红书 评论区 截流 商业撬客 官方,official_and_rules
OFF-020,official,小红书,历史官方品牌号规范,品牌号社区运营规范,小红书,,2026-07-16,https://dc.xhscdn.com/file/c947aa537be9e80d802226374b5c710f/%25E5%2593%2581%25E7%2589%258C%25E5%258F%25B7%25E7%25A4%25BE%25E5%258C%25BA%25E8%25BF%2590%25E8%2590%25A5%25E8%25A7%2584%25E8%258C%2583.pdf,Q-COMMENT-004,full,官方 CDN PDF；禁止相似评论/私信批量营销、商业导流、购买评论和多账号配合；发布日期不明且品牌号产品已演进，只作历史作用域证据,A,notes/comment-section-acquisition.md,小红书 品牌号 评论 营销 骚扰 规范,official_and_rules
OFF-021,official,小红书聚光,官方商业产品入口,小红书聚光帮助中心：客资收集与私信咨询能力,小红书,,2026-07-16,https://ad.xiaohongshu.com/next_help/home,Q-ACQ-001;Q-ACQ-002,partial,官方帮助中心可见客资收集/私信咨询产品入口；具体准入、行业与账户权限必须在投放前复核,A,notes/comment-section-acquisition.md,小红书 聚光 客资收集 私信咨询,official_and_rules
LEG-001,official,国家市场监督管理总局,执法指南,《中华人民共和国广告法》适用问题执法指南（一）,国家市场监督管理总局,2025-12-29,2026-07-16,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/ggjgs/art/2026/art_75bdff5f79d047d287f795c205c78d3b.html,Q-COMMENT-005,full,自然人在他人页面作普通评价/跟帖一般不具营销性；自行或受委托推销商品的例外，需结合具体情形判断,A,notes/comment-section-acquisition.md,评论 营销 是否构成广告 广告法 指南,official_and_rules
LEG-002,official,国家市场监督管理总局,部门规章,网络反不正当竞争暂行规定,国家市场监督管理总局,2024-05-11,2026-07-16,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2024/art_80019fe59e464196bef173dc56678a42.html,Q-COMMENT-005,full,自2024-09-01施行；禁止以热评等方式作虚假或误导宣传，并禁止组织恶意评价损害竞品,A,notes/comment-section-acquisition.md,热评 虚假宣传 恶意评价 竞品 网络不正当竞争,official_and_rules
GOV-001,official,中央网信办,专项治理通报,网信部门严厉打击整治网络水军问题,中央网络安全和信息化委员会办公室,2025-01-03,2026-07-16,https://www.cac.gov.cn/2025-1/3/c_1737254417150320.htm,Q-COMMENT-004,full,国家层面治理批量评论、统一话术、刷评控评和隐晦导流；用于识别自动化评论反例,A,notes/comment-section-acquisition.md,机器人 批量评论 统一话术 隐晦引流 水军,official_and_rules
MED-003,industry,新浪科技/运营研究社,平台治理采访,小红书要‘封’100万个账号 这类玩法凉凉,运营研究社,2025-04-11,2026-07-16,https://finance.sina.com.cn/tech/roll/2025-04-11/doc-inesunpz2663318.shtml,Q-COMMENT-003,full,采访平台项目负责人；称首轮拟治理1000万条水军引流评论和近100万违规账号，摄影旅游等评论/私信撬客也在范围,B,notes/comment-section-acquisition.md,小红书 水军引流评论 评论私信撬客 治理,wechat_zhihu_industry
MED-004,industry,第一财经,平台开放日报道,小红书：半年清理超千万条违规内容，封禁1200万个虚假账号,第一财经,2025-09-17,2026-07-16,https://www.yicai.com/news/102829501.html,Q-COMMENT-004,full,转述平台开放日自报数据：半年清理虚假评论超3.6亿条、封禁虚假账号超1200万个；非独立审计,B,notes/comment-section-acquisition.md,小红书 虚假评论 治理 开放日,wechat_zhihu_industry
MED-005,industry,财联社,处罚报道,小红书官方回应封号：未说明处罚时间的就是永久性,财联社,2024-12-20,2026-07-16,https://www.cls.cn/detail/1895153,Q-COMMENT-007,full,报道用户通知与官方客服回应；处罚理由含笔记/评论频繁编造故事营销和引导第三方平台,B,notes/comment-section-acquisition.md,小红书 评论 第三方平台 编造故事 永久限流,wechat_zhihu_industry
MED-006,industry,IT之家,处罚报道,小红书大批封号引热议，客服称未说明处罚时间就是永封,IT之家,2024-12-20,2026-07-16,https://www.ithome.com/0/818/962.htm,Q-COMMENT-007,full,与财联社交叉报道同一轮处罚，并列举低质同质导流、评论引导第三方平台等通知文本；非官方规则原件,B,notes/comment-section-acquisition.md,小红书 评论 第三方平台 低质营销 封号,wechat_zhihu_industry
IND-049,industry,新榜/新红,平台公告转述,小红书治理恶意导流行为 封禁6353个账号,新榜,2023-08-10,2026-07-16,https://xh.newrank.cn/help/z/B2F734B763038648171876CC0F6351D2,Q-COMMENT-003,full,转述平台治理进展；点名竞品评论区引流和主动私信意向用户，当期封禁6353、长期限流禁言1779,B,notes/comment-section-acquisition.md,小红书 竞争账号 评论区引流 主动私信,wechat_zhihu_industry
IND-050,industry,36氪/运营研究社,单一操盘案例,小红书粉丝不到1000，但是月入五位数,运营研究社,2023-12-21,2026-07-16,https://www.36kr.com/p/2569063491806595,Q-COMMENT-006,full,深访一个汽车服务操盘手；收入和方法为自报、无后台归因且本人遭7天限流；伪素人、竞品截流、小号和站外引流均与当前规则冲突,C,notes/comment-section-acquisition.md,小红书 评论区截流 个案 月入,wechat_zhihu_industry
IND-051,industry,不上班研究所,自动化引流案例,抖音/小红书评论区截流，一个简单的赚钱小副业项目,李迷糊cc,2024-04-13,2026-07-16,https://www.toocool.cc/p/2516,Q-COMMENT-004;Q-COMMENT-008,full,自报半个月收入5000多但混合抖音/小红书、无法分平台归因，并使用机器人和批量评论；作为违规反例,D,notes/comment-section-acquisition.md,小红书 评论区截流 机器人 批量评论,wechat_zhihu_industry
IND-052,industry,养号.app,自动化工具营销,小红书自动评论与养号引流教程,养号.app,,2026-07-16,https://yanghao.app/zh/blog/yinliu/,Q-COMMENT-004;Q-COMMENT-008,partial,工具商推广自动评论、自动关注与模拟行为；无可靠效果方法且与官方反作弊边界冲突,D,notes/comment-section-acquisition.md,小红书 自动评论 自动关注 养号 引流,wechat_zhihu_industry
IND-053,industry,搜狐,评论引流观点,小红书评论区正在成为流量洼地,搜狐号,,2026-07-16,https://www.sohu.com/a/893569810_122043661,Q-COMMENT-006,partial,声称单条评论涨粉300、主页访问5倍及固定频次阈值，未披露账号、后台、样本或对照；不可采用,D,notes/comment-section-acquisition.md,小红书 一条评论 涨粉 主页访问,wechat_zhihu_industry
IND-054,industry,搜狐,获客趋势营销稿,小红书获客玩法变化：旧式评论截流效率与风险,搜狐号,,2026-07-16,https://www.sohu.com/a/997967198_100137851,Q-COMMENT-008,partial,用来佐证从业叙事已承认旧式截流低效高风险；文章本身营销GEO服务，无独立验证,D,notes/comment-section-acquisition.md,小红书 评论截流 低效 封号 GEO,wechat_zhihu_industry
IND-055,industry,搜狐,截流软件营销,小红书评论区截流软件玩法,搜狐号,,2026-07-16,https://www.sohu.com/a/878129895_407401,Q-COMMENT-004;Q-COMMENT-008,partial,推广自动化截流软件；无效果验证并与批量营销/水军治理冲突，作为工具风险样本,D,notes/comment-section-acquisition.md,小红书 评论截流 软件,wechat_zhihu_industry
IND-056,industry,AIGC工具导航,自动化工具条目,小红书评论区自动截流工具条目,AIGC.cn,,2026-07-16,https://www.aigc.cn/sites/101496.html,Q-COMMENT-004;Q-COMMENT-008,partial,描述自动拦截和联系方式变体；无可核效果，且显示典型规避审核模式，只作反例,D,notes/comment-section-acquisition.md,小红书 自动截流 暗号 主业进群,wechat_zhihu_industry
IND-057,industry,腾讯云开发者社区/企鹅号转载,评论获客自报案例,小红书评论区引流案例,微商飘老师,2025-02-24,2026-07-16,https://cloud.tencent.com/developer/news/2218277,Q-COMMENT-006,partial,自报每篇每日6–10人并以乘法推演每天90人，无原始后台或对照；小号与站外联系方式玩法不合规,D,notes/comment-section-acquisition.md,小红书 评论 每天引流 人数,wechat_zhihu_industry
IND-058,industry,珍妮线上获客,操盘教程,小红书评论区截流与私信获客教程,珍妮/晚照,2025-09-23,2026-07-16,https://jennyhuoke.com/caopanshourumen/57.html,Q-COMMENT-006;Q-COMMENT-008,full,留学/房产操盘经验，无效果数据，并建议伪装身份、变体话术与主动私信；作为禁止型反例,D,notes/comment-section-acquisition.md,小红书 伪装身份 变体话术 主动私信,wechat_zhihu_industry
IND-059,industry,青瓜传媒/千瓜,历史评论分析,万篇热门笔记评论区分析,千瓜数据,2020-08-05,2026-07-16,https://www.growthhk.cn/mcn/xiaohongshu/32920.html,Q-COMMENT-006,full,称分析上万篇笔记但未披露采样和统计方法；品牌补充产品信息、回应反馈可作历史社区运营启发，置顶机制可能过时,C,notes/comment-section-acquisition.md,小红书 热门笔记 评论 品牌互动,wechat_zhihu_industry
IND-060,industry,数英,品牌运营案例,星巴克小红书运营案例,Carnivo,2023,2026-07-16,https://www.digitaling.com/projects/250543.html,Q-COMMENT-006,full,三个月内容、投流与账号互动组合案例；增长不能单独归因于去别人帖子评论,C,notes/comment-section-acquisition.md,星巴克 小红书 评论互动 涨粉 案例,wechat_zhihu_industry
IND-061,industry,新榜/新红,平台公告转述,小红书将严厉治理恶意交易导流行为，情形严重将封号,新榜,2023-07-21,2026-07-16,https://xh.newrank.cn/help/z/9AF3CD11784DE99D36A15BCDCAF034DD,Q-COMMENT-003,full,转述2023-07-20平台公告；称通过笔记、评论、私信、个人页导向站外交易受严格治理，严重可封号,B,notes/comment-section-acquisition.md,小红书 笔记 评论 私信 个人页 站外交易导流,wechat_zhihu_industry
XHS-002,creator_experience,小红书,站内创作者治理转述,小红书出手了！评论区‘撬客’截流玩法要凉凉！,胖小达运营日记,2025-05-28,2026-07-16,https://www.xiaohongshu.com/explore/6837016a000000000f038e52,Q-COMMENT-001,full,登录态只读打开；作者概括价格截流、踩一捧一和跨平台暗号治理，属于创作者对公告的转述，不代替官方原文；搜索卡可见合并互动99,C,notes/comment-section-acquisition.md,小红书站内 评论区截流,xhs_creator_posts
MED-007,industry,财经网/新浪科技,平台治理公告转述,小红书严打违规营销：首轮将处置100万违规账号,财经网/新浪科技,2025-04-09,2026-07-16,https://finance.sina.cn/tech/2025-04-09/detail-inesqrfq6514987.d.html?vt=4,Q-COMMENT-003,full,转述薯管家公告；点名水军回复特定评论、站外导流、医美收客资及旅游评论/私信撬客；100万为预计首轮处置，不是已完成结果,B,notes/comment-section-acquisition.md,小红书 水军 回复评论 旅游 撬客 违规营销,wechat_zhihu_industry
MED-008,industry,新浪新闻,官方公告转述,关于打击AI托管运营账号的治理公告,新浪新闻转述小红书,2026-03-10,2026-07-16,https://www.sina.cn/news/detail/5274974740285663.html,Q-COMMENT-004,full,转述平台公告；技术自动生成内容并在评论/私信/群聊模拟真人互动属于AI托管治理对象；不等于本人审核的偶发AI辅助一概禁止,B,notes/comment-section-acquisition.md,小红书 AI托管 评论 私信 群聊 模拟真人,wechat_zhihu_industry
OFF-022,official,小红书蒲公英,官方商业合作平台,小红书蒲公英首页,小红书,,2026-07-16,https://pgy.xiaohongshu.com/,Q-ACQ-002,full,官方品牌—创作者合作入口，提供定制/批量/众测/直播等能力；产品存在不代表具体成人品类可投或必然有效,A,notes/cross-platform-acquisition.md,小红书 蒲公英 创作者合作 转化数据,official_and_rules
OFF-023,official,小红书分享开放平台,官方技术产品页,小红书分享开放平台,小红书,,2026-07-16,https://agora.xiaohongshu.com/,Q-ACQ-002,full,外部应用可调用分享能力把图文/视频带入小红书；不构成推荐或流量保证,A,notes/cross-platform-acquisition.md,外部应用 分享到小红书 开放平台,official_and_rules
OFF-024,official,知乎,官方创作者指南,知乎创作者手册,知乎,,2026-07-16,https://www.zhihu.com/knowledge-plan/manual,Q-ACQ-003,full,建议新人从问答、垂直细分、可信来源和信息增量入手，并提醒避免影响阅读的营销导流；属于创作指南而非算法权重,A,notes/cross-platform-acquisition.md,知乎 创作者 垂直 问答 营销导流,official_and_rules
OFF-025,official,知乎,官方社区规则说明,知乎盐值与社区行为说明,知乎,,2026-07-16,https://www.zhihu.com/term/credit,Q-ACQ-003,full,伪造经历、低俗露骨内容和垃圾广告属于内容/账号风险；具体处罚与分发阈值未公开,A,notes/cross-platform-acquisition.md,知乎 伪造经历 露骨性经验 垃圾广告,official_and_rules
OFF-026,official,知乎,官方商业产品页,知乎知+自选,知乎,,2026-07-16,https://www.zhihu.com/zhijia/apply,Q-ACQ-003,full,回答/文章可通过官方能力插入产品卡片，账号需满足原创与状态要求；未确认成人SKU可选,A,notes/cross-platform-acquisition.md,知乎 回答 文章 产品卡片 知+,official_and_rules
OFF-027,official,哔哩哔哩,官方商业合作平台,哔哩哔哩花火商单平台,哔哩哔哩,,2026-07-16,https://huahuo.bilibili.com/,Q-ACQ-004,full,品牌与UP主的官方合作、订单和结算入口；行业与成人品类任务需平台审核,A,notes/cross-platform-acquisition.md,B站 花火 UP主 品牌合作,official_and_rules
OFF-028,official,哔哩哔哩,官方活动说明,花火平台入驻与合作说明,哔哩哔哩,,2026-07-16,https://www.bilibili.com/blackboard/activity-zWUGlzmXPK.html,Q-ACQ-004,full,列出花火官方合作与入驻条件；页面会更新，执行时复核,A,notes/cross-platform-acquisition.md,B站 花火 入驻 条件,official_and_rules
OFF-029,official,哔哩哔哩,用户协议,哔哩哔哩用户使用协议,哔哩哔哩,,2026-07-16,https://www.bilibili.com/blackboard/user-rule-linux.html?night=1&padding=0,Q-ACQ-004,full,通用协议禁止淫秽色情、伪装身份及垃圾促销信息；不含每个分区和商业品类的完整细则,A,notes/cross-platform-acquisition.md,B站 色情低俗 伪装身份 垃圾广告 规则,official_and_rules
OFF-030,official,抖音,用户服务协议,抖音用户服务协议,抖音,,2026-07-16,https://www.douyin.com/agreements/?id=6773906068725565448,Q-ACQ-005,full,通用协议禁止淫秽色情和低俗庸俗媚俗；具体创作与电商细则需另查,A,notes/cross-platform-acquisition.md,抖音 淫秽色情 低俗 内容规则,official_and_rules
OFF-031,official,抖音电商学习中心,官方类目规范,情趣用品类目管理规范,抖音电商,2026-06-19,2026-07-16,https://school.jinritemai.com/doudian/web/article/aHw4Xdrmjzw3?biz_from=new_rules,Q-ACQ-005,partial,动态页面证明存在情趣用品经营类目；具体SKU、素材、资质和当前全文需登录后台复核,A,notes/cross-platform-acquisition.md,抖音 情趣用品 类目 管理规范,official_and_rules
OFF-032,official,抖音电商学习中心,历史规则更新,情趣用品类目管理规范更新,抖音电商,2024-06-13,2026-07-16,https://school.jinritemai.com/doudian/wap/article/aJ8ZpBQxn8US?from_school=1&should_full_screen=1&should_hide_bottom_nav=1,Q-ACQ-005,partial,历史官方更新强调消费者可见素材不得低俗/劣质；不可替代2026后台当前规则,A,notes/cross-platform-acquisition.md,抖音 情趣用品 可见素材 低俗 规则更新,official_and_rules
OFF-033,official,抖音电商学习中心,违禁商品公示,违禁商品/信息修订公示,抖音电商,2026-05-06,2026-07-16,https://school.jinritemai.com/doudian/wap/article/aJijoYGzDfn1?from_school=1&should_full_screen=1&should_hide_bottom_nav=1,Q-ACQ-005,full,列出多类高风险/禁止商品；原全球购旧规则随后转统一规则，只用于识别风险SKU，不能当完整当前目录,A,notes/cross-platform-acquisition.md,抖音 催情 迷奸 仿真性器官 壮阳 禁售,official_and_rules
OFF-034,official,巨量星图,官方商业合作平台,巨量星图,巨量引擎,,2026-07-16,https://www.xingtu.cn/,Q-ACQ-005,full,官方达人合作及传播/搜索/转化/人群度量入口；成人行业任务能否下单仍需审核,A,notes/cross-platform-acquisition.md,抖音 星图 达人合作 传播 搜索 转化,official_and_rules
OFF-035,official,腾讯广告,官方培训资料,腾讯广告落地页与线索能力资料,腾讯广告,2025-01,2026-07-16,https://training.tencentads.com/uploads/202501/KzvizqnX_OvmTJ0.pdf,Q-ACQ-008,full,介绍官方落地页、线索通及公众号/企微/CRM归因能力；广告产品和行业准入会更新，不能用来为小红书违规导流背书,A,notes/cross-platform-acquisition.md,腾讯广告 线索通 公众号 企微 CRM 归因,official_and_rules
LEG-003,official,全国人民代表大会,法律,中华人民共和国个人信息保护法,全国人民代表大会,2021-08-20,2026-07-16,https://www.npc.gov.cn/npc/c2/c30834/202108/t20210820_313088.html,Q-ACQ-007,full,敏感个人信息处理须有特定目的、充分必要和严格保护，通常需单独同意；亲密投稿常同时涉及医疗健康、身份等信息，应按高敏感标准治理,A,notes/cross-platform-acquisition.md,亲密关系 投稿 健康 隐私 敏感个人信息 单独同意,official_and_rules
LEG-004,official,国家市场监督管理总局,部门规章,互联网广告管理办法,国家市场监督管理总局,2023-02-25,2026-07-16,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2023/art_d93a579afd45413e8576e4623fab348f.html,Q-ACQ-007,full,自2023-05-01施行；体验分享/测评附购买方式时需具广告可识别性，禁止欺骗点击，广告主对真实性负责,A,notes/cross-platform-acquisition.md,体验分享 测评 购买链接 标明广告 健康知识,official_and_rules
LEG-005,official,全国人民代表大会,法律,中华人民共和国广告法,全国人民代表大会,,2026-07-16,https://www.npc.gov.cn/npc/c1773/c1848/c21114/c25274/c25277/201905/t20190521_207459.html,Q-ACQ-007,full,广告不得淫秽或违背良好风尚、损害未成年人；商品性能用途须真实，非医疗商品不得用疾病治疗或医疗混淆话术,A,notes/cross-platform-acquisition.md,成人用品 广告 真实 未成年人 医疗功效,official_and_rules
IND-062,industry,36氪/真故研究室,品牌采访,当一家情趣玩具店进入商场,真故研究室,2024-08-02,2026-07-16,https://www.36kr.com/p/2888479807183752,Q-ACQ-006,full,品牌负责人自述广告组合包含小红书、播客、微信和微博，并以关系/心理议题降低表达风险；无分渠道后台、CAC或跨平台归因,C,notes/cross-platform-acquisition.md,大人糖 小红书 播客 微信 微博 多渠道,wechat_zhihu_industry
IND-063,industry,广告门/金瞳奖,申奖案例,杰士邦超越TA，在小红书更懂TA,小红书商业化,2025-09-24,2026-07-16,https://www.adquan.com/article/355654,Q-ACQ-006,full,申奖方自报2024项目的站内内容/直播/选品结果；可观察闭环结构，但未经独立审计、预算高，不能外推新号,C,notes/cross-platform-acquisition.md,杰士邦 女性 小红书 直播 GMV ROI 闭环,wechat_zhihu_industry
IND-064,industry,澎湃号·湃客,品牌线下采访,成人用品店开进商场后，年轻人怎么逛,澎湃号·湃客,2023-11-28,2026-07-16,https://www.thepaper.cn/newsDetail_forward_25443923,Q-ACQ-006,full,采访称深圳商场围挡在小红书意外走红，线下空间以展览/教育为主；品牌明确走红偶然，无后台且不可复制,C,notes/cross-platform-acquisition.md,大人糖 线下店 小红书 UGC 展览 教育,wechat_zhihu_industry
IND-065,industry,钛媒体,行业分析,情趣用品品牌的内容传播与平台限制,钛媒体,2021-08-29,2026-07-16,https://www.tmtpost.com/5620544.html,Q-ACQ-006,full,历史媒体分析显示清新审美/女性自主叙事仍受平台传播限制；只作结构性风险，不代表2026规则,C,notes/cross-platform-acquisition.md,大人糖 女性审美 多平台 内容审核,wechat_zhihu_industry
